scientificName,canonicalName,authorship,family
"Canis lycaon Schreber, 1775",Canis lycaon,"Schreber, 1775",Canidae
"Canis lydekkeri Ameghino, 1889",Canis lydekkeri,"Ameghino, 1889",Canidae
"Canis macdonnellensis Matschie, 1915",Canis macdonnellensis,"Matschie, 1915",Canidae
"Canis melitaeus Zimmermann, 1780",Canis melitaeus,"Zimmermann, 1780",Canidae
"Canis melomelas Zimmermann, 1780",Canis melomelas,"Zimmermann, 1780",Canidae
"Canis mesomelas Schreber, 1775",Canis mesomelas,"Schreber, 1775",Canidae
"Canis montanus Marsh, 1871",Canis montanus,"Marsh, 1871",Canidae
"Canis morenis Lydekker, 1894",Canis morenis,"Lydekker, 1894",Canidae
"Canis nehringi Ameghino, 1902",Canis nehringi,"Ameghino, 1902",Canidae
"Canis niger Sclater, 1874",Canis niger,"Sclater, 1874",Canidae
"Canis occidentalis Richardson, 1829",Canis occidentalis,"Richardson, 1829",Canidae
"Canis ochropus Eschscholtz, 1829",Canis ochropus,"Eschscholtz, 1829",Canidae
"Canis orcensis Martinez-Navarro, Bartolini Lucenti, Palmqvist, Ros-Montoya, Madurell-Malapeira & Espigares, 2021",Canis orcensis,"Martinez-Navarro, Bartolini Lucenti, Palmqvist, Ros-Montoya, Madurell-Malapeira & Espigares, 2021",Canidae
"Canis oriens Way & Lynn, 2016",Canis oriens,"Way & Lynn, 2016",Canidae
"Canis osorum Cope, 1873",Canis osorum,"Cope, 1873",Canidae
"Canis palaeoplatensis Ameghino, 1891",Canis palaeoplatensis,"Ameghino, 1891",Canidae
"Canis palmidens Teilhard & Piveteau, 1930",Canis palmidens,"Teilhard & Piveteau, 1930",Canidae
"Canis primaevus Leidy, 1854",Canis primaevus,"Leidy, 1854",Canidae
"Canis primigenius Lankester, 1864",Canis primigenius,"Lankester, 1864",Canidae
"Canis proplatensis Ameghino, 1902",Canis proplatensis,"Ameghino, 1902",Canidae
"Canis simensis Rüppell, 1840",Canis simensis,"Rüppell, 1840",Canidae
"Canis spec Linnaeus, 1758",Canis spec,"Linnæus, 1758",Canidae
"Canis teilhardi Qiu et al., 2004",Canis teilhardi,"Qiu et al., 2004",Canidae
"Canis thooides Tedford et al., 2009",Canis thooides,"Tedford et al., 2009",Canidae
"Canis troglodytes Lund, 1938",Canis troglodytes,"Lund, 1938",Canidae
"Canis variabilis Pei, 1934",Canis variabilis,"Pei, 1934",Canidae
"Vulpes latidentatus (Cope, 1899)",Vulpes latidentatus,"(Cope, 1899) ",Canidae
"Aelurodon compressus (Cope, 1890)",Aelurodon compressus,"(Cope, 1890) ",Canidae
"Carpocyon limosus Webb, 1969",Carpocyon limosus,"Webb, 1969",Canidae
"Carpocyon webbi Wang et al., 1999",Carpocyon webbi,"Wang et al., 1999",Canidae
"Tomarctus robustus (Green, 1948)",Tomarctus robustus,"(Green, 1948) ",Canidae
"Cerdocyon texanus Tedford et al., 2009",Cerdocyon texanus,"Tedford et al., 2009",Canidae
"Cerdocyon thous (Linnaeus, 1766)",Cerdocyon thous,"(Linnaeus, 1766) ",Canidae
Thous azarae,Thous azarae,,Canidae
Thous cancrivorus,Thous cancrivorus,,Canidae
"Chrysocyon brachyurus (Illiger, 1815)",Chrysocyon brachyurus,"(Illiger, 1815) ",Canidae
"Chrysocyon nearcticus Tedford et al., 2009",Chrysocyon nearcticus,"Tedford et al., 2009",Canidae
"Cormocyon copei Wang & Tedford, 1992",Cormocyon copei,"Wang & Tedford, 1992",Canidae
"Cormocyon haydeni Wang et al., 1999",Cormocyon haydeni,"Wang et al., 1999",Canidae
"Cubacyon transversidens Arredondo & Varona, 1974",Cubacyon transversidens,"Arredondo & Varona, 1974",Canidae
"Cuon alpinus (Pallas, 1811)",Cuon alpinus,"(Pallas, 1811) ",Canidae
"Cuon majori Del Campana, 1900",Cuon majori,"Del Campana, 1900",Canidae
"Cuon primaevus Hodgson, 1838",Cuon primaevus,"Hodgson, 1838",Canidae
"Cuon stehlini (Moullé, 1992)",Cuon stehlini,"(Moullé, 1992) ",Canidae
"Cyon antiquus Matthew & Granger, 1923",Cyon antiquus,"Matthew & Granger, 1923",Canidae
"Canis lemur (Cope, 1879)",Canis lemur,"(Cope, 1879) ",Canidae
"Cynarctoides emryi Wang et al., 1999",Cynarctoides emryi,"Wang et al., 1999",Canidae
"Cynarctoides gawnae Wang et al., 1999",Cynarctoides gawnae,"Wang et al., 1999",Canidae
"Cynarctoides luskensis Wang et al., 1999",Cynarctoides luskensis,"Wang et al., 1999",Canidae
"Cynarctoides whistleri Wang & Tedford, 2008",Cynarctoides whistleri,"Wang & Tedford, 2008",Canidae
"Cynarctus acridens (Barbour & Cook, 1914)",Cynarctus acridens,"(Barbour & Cook, 1914) ",Canidae
"Nothocyon roii (Macdonald, 1963)",Nothocyon roii,"(Macdonald, 1963) ",Canidae
"Pachycynodon harlowi (Loomis, 1932)",Pachycynodon harlowi,"(Loomis, 1932) ",Canidae
"Cynarctus crucidens Barbour & Cook, 1914",Cynarctus crucidens,"Barbour & Cook, 1914",Canidae
"Cynarctus galushai Wang et al., 1999",Cynarctus galushai,"Wang et al., 1999",Canidae
"Cynarctus saxatilis Matthew, 1902",Cynarctus saxatilis,"Matthew, 1902",Canidae
"Cynarctus voorhiesi Wang et al., 1999",Cynarctus voorhiesi,"Wang et al., 1999",Canidae
"Cynarctus wangi Jasinski & Wallace, 2015",Cynarctus wangi,"Jasinski & Wallace, 2015",Canidae
"Tomarctus marylandica (Berry, 1938)",Tomarctus marylandica,"(Berry, 1938) ",Canidae
"Cynodesmus martini Wang, 1994",Cynodesmus martini,"Wang, 1994",Canidae
"Cynodesmus thooides (Scott, 1893)",Cynodesmus thooides,"(Scott, 1893) ",Canidae
"Cynotherium sardous Studiati, 1857",Cynotherium sardous,"Studiati, 1857",Canidae
"Cynodesmus thomsoni (Matthew, 1907)",Cynodesmus thomsoni,"(Matthew, 1907) ",Canidae
"Desmocyon matthewi Wang et al., 1999",Desmocyon matthewi,"Wang et al., 1999",Canidae
"Dusicyon australis (Kerr, 1792)",Dusicyon australis,"(Kerr, 1792) ",Canidae
"Dusicyon avus (Burmeister, 1866)",Dusicyon avus,"(Burmeister, 1866) ",Canidae
"Dusicyon cultridens Gervais & Ameghino, 1880",Dusicyon cultridens,"Gervais & Ameghino, 1880",Canidae
"Dusicyon sechurae Thomas, 1900",Dusicyon sechurae,"Thomas, 1900",Canidae
"Dusicyon vetulus Lund, 1842",Dusicyon vetulus,"Lund, 1842",Canidae
"Dysodus pravus Cope, 1879",Dysodus pravus,"Cope, 1879",Canidae
"Ectopocynus antiquus Wang, 1994",Ectopocynus antiquus,"Wang, 1994",Canidae
"Ectopocynus intermedius Wang, 1994",Ectopocynus intermedius,"Wang, 1994",Canidae
"Ectopocynus simplicidens Wang, 1994",Ectopocynus simplicidens,"Wang, 1994",Canidae
"Enhydrocyon basilatus (Cope, 1879)",Enhydrocyon basilatus,"(Cope, 1879) ",Canidae
"Enhydrocyon crassidens Matthew, 1907",Enhydrocyon crassidens,"Matthew, 1907",Canidae
"Enhydrocyon stenocephalus Cope, 1879",Enhydrocyon stenocephalus,"Cope, 1879",Canidae
"Sunkahetanka pahinsintewakpa (Macdonald, 1963)",Sunkahetanka pahinsintewakpa,"(Macdonald, 1963) ",Canidae
"Canis haydeni (Leidy, 1858)",Canis haydeni,"(Leidy, 1858) ",Canidae
"Canis saevus (Leidy, 1858)",Canis saevus,"(Leidy, 1858) ",Canidae
"Epicyon aelurodontoides Wang et al., 1999",Epicyon aelurodontoides,"Wang et al., 1999",Canidae
"Canis davisi (Merriam, 1911)",Canis davisi,"(Merriam, 1911) ",Canidae
"Eucyon adoxus Martin, 1973",Eucyon adoxus,"Martin, 1973",Canidae
"Eucyon intrepidus Morales et al., 2005",Eucyon intrepidus,"Morales et al., 2005",Canidae
"Eucyon khoikhoi Valenciano, Morales & Govender, 2022",Eucyon khoikhoi,"Valenciano, Morales & Govender, 2022",Canidae
"Eucyon kuta Werdelin, Lewis & Haile-Selassie, 2014",Eucyon kuta,"Werdelin, Lewis & Haile-Selassie, 2014",Canidae
"Eucyon monticinensis Rook, 1992",Eucyon monticinensis,"Rook, 1992",Canidae
"Eucyon odessanus Odintzov, 1967",Eucyon odessanus,"Odintzov, 1967",Canidae
"Eucyon skinneri Tedford et al., 2009",Eucyon skinneri,"Tedford et al., 2009",Canidae
"Eucyon zhoui Tedford & Qiu, 1996",Eucyon zhoui,"Tedford & Qiu, 1996",Canidae
"Aelurocyon spissidens (White, 1947)",Aelurocyon spissidens,"(White, 1947) ",Canidae
"Aelurodon brachygnathus (Douglass, 1903)",Aelurodon brachygnathus,"(Douglass, 1903) ",Canidae
"Cerdocyon avius (Torres & Ferrusquia, 1981)",Cerdocyon avius,"(Torres & Ferrusquia, 1981) ",Canidae
"Canis gregarius (Cope, 1873)",Canis gregarius,"(Cope, 1873) ",Canidae
"Hesperocyon coloradensis Wang, 1994",Hesperocyon coloradensis,"Wang, 1994",Canidae
"Canis vafer (Leidy, 1858)",Canis vafer,"(Leidy, 1858) ",Canidae
"Leptocyon douglassi Tedford et al., 2009",Leptocyon douglassi,"Tedford et al., 2009",Canidae
"Leptocyon leidyi Tedford et al., 2009",Leptocyon leidyi,"Tedford et al., 2009",Canidae
"Leptocyon matthewi Tedford et al., 2009",Leptocyon matthewi,"Tedford et al., 2009",Canidae
"Leptocyon mollis Merriam, 1906",Leptocyon mollis,"Merriam, 1906",Canidae
"Leptocyon tejonensis Tedford et al., 2009",Leptocyon tejonensis,"Tedford et al., 2009",Canidae
"Nothocyon gregorii (Matthew, 1907)",Nothocyon gregorii,"(Matthew, 1907) ",Canidae
"Nothocyon vulpinus (Matthew, 1907)",Nothocyon vulpinus,"(Matthew, 1907) ",Canidae
"Pachycynodon delicatus (Loomis, 1932)",Pachycynodon delicatus,"(Loomis, 1932) ",Canidae
"Lupulella mohibi Geraads, 2011",Lupulella mohibi,"Geraads, 2011",Canidae
"Lupulella paralius Geraads, 2011",Lupulella paralius,"Geraads, 2011",Canidae
"Lycalopex culpaeus (Molina, 1782)",Lycalopex culpaeus,"(Molina, 1782) ",Canidae
"Lycalopex fulvipes (Martin, 1837)",Lycalopex fulvipes,"(Martin, 1837) ",Canidae
"Lycalopex gymnocercus (G.Fischer, 1814)",Lycalopex gymnocercus,"(G.Fischer, 1814) ",Canidae
"Lycalopex sechurae (Thomas, 1900)",Lycalopex sechurae,"(Thomas, 1900) ",Canidae
"Lycalopex vetulus (Lund, 1842)",Lycalopex vetulus,"(Lund, 1842) ",Canidae
"Lycaon magnus Ewer & Singer, 1956",Lycaon magnus,"Ewer & Singer, 1956",Canidae
"Lycaon pictus (Temminck, 1820)",Lycaon pictus,"(Temminck, 1820) ",Canidae
"Cynodictis temnodon (Wortman & Matthew, 1899)",Cynodictis temnodon,"(Wortman & Matthew, 1899) ",Canidae
"Mesocyon brachyops Merriam, 1906",Mesocyon brachyops,"Merriam, 1906",Canidae
"Temnocyon coryphaeus (Cope, 1879)",Temnocyon coryphaeus,"(Cope, 1879) ",Canidae
"Metalopex bakeri Tedford et al., 2009",Metalopex bakeri,"Tedford et al., 2009",Canidae
"Metalopex macconnelli Tedford et al., 2009",Metalopex macconnelli,"Tedford et al., 2009",Canidae
"Metalopex merriami Tedford & Wang, 2008",Metalopex merriami,"Tedford & Wang, 2008",Canidae
"Cynodesmus canavus (Simpson, 1932)",Cynodesmus canavus,"(Simpson, 1932) ",Canidae
"Tephrocyon confertus (Matthew, 1918)",Tephrocyon confertus,"(Matthew, 1918) ",Canidae
"Neovulpavus mccarrolli Tomiya, Zack, Spaulding & Flynn, 2021",Neovulpavus mccarrolli,"Tomiya, Zack, Spaulding & Flynn, 2021",Canidae
"Neovulpavus washakius Wortman, 1901",Neovulpavus washakius,"Wortman, 1901",Canidae
"Nurocyon chonokhariensis Sotnikova, 2006",Nurocyon chonokhariensis,"Sotnikova, 2006",Canidae
"Nyctereutes abdeslami Geraads, 1997",Nyctereutes abdeslami,"Geraads, 1997",Canidae
"Nyctereutes donnezani (Deperet, 1890)",Nyctereutes donnezani,"(Deperet, 1890) ",Canidae
"Nyctereutes lockwoodi Geraads, Alemseged, Bobe & Reed, 2010",Nyctereutes lockwoodi,"Geraads, Alemseged, Bobe & Reed, 2010",Canidae
"Nyctereutes megamastoides Pomel, 1842",Nyctereutes megamastoides,"Pomel, 1842",Canidae
