scientificName,canonicalName,authorship,family
"Antilope haupti (Major, 1873)",Antilope haupti,"(Major, 1873) ",Bovidae
"Maremmia lorenzi Hurzeler & Engesser, 1976",Maremmia lorenzi,"Hurzeler & Engesser, 1976",Bovidae
"Menelikia leakeyi Harris, 1991",Menelikia leakeyi,"Harris, 1991",Bovidae
"Menelikia lyrocera Arambourg, 1941",Menelikia lyrocera,"Arambourg, 1941",Bovidae
"Mesembriportax acrae (Gentry, 1974)",Mesembriportax acrae,"(Gentry, 1974) ",Bovidae
"Miotragocerus cyrenaicus Thomas, 1979",Miotragocerus cyrenaicus,"Thomas, 1979",Bovidae
"Miotragocerus monacensis Stromer, 1928",Miotragocerus monacensis,"Stromer, 1928",Bovidae
"Tragocerus valenciennesi (Gaudry, 1861)",Tragocerus valenciennesi,"(Gaudry, 1861) ",Bovidae
"Myotragus balearicus Bate, 1909",Myotragus balearicus,"Bate, 1909",Bovidae
"Myotragus kopperi Moya & Pons, 1980",Myotragus kopperi,"Moya & Pons, 1980",Bovidae
"Nemorhoedus palmeri Cragin, 1899",Nemorhoedus palmeri,"Cragin, 1899",Bovidae
"Naemorhedus baileyi Pocock, 1914",Naemorhedus baileyi,"Pocock, 1914",Bovidae
"Naemorhedus caudatus (Milne-Edwards, 1867)",Naemorhedus caudatus,"(Milne-Edwards, 1867) ",Bovidae
"Naemorhedus goral (Hardwicke, 1825)",Naemorhedus goral,"(Hardwicke, 1825) ",Bovidae
"Naemorhedus griseus (Milne-Edwards, 1871)",Naemorhedus griseus,"(Milne-Edwards, 1871) ",Bovidae
"Namacerus gariepensis Morales et al., 2003",Namacerus gariepensis,"Morales et al., 2003",Bovidae
"Namibiomeryx senuti Morales, Soria & Pickford, 1995",Namibiomeryx senuti,"Morales, Soria & Pickford, 1995",Bovidae
"Nanger dama (Pallas, 1766)",Nanger dama,"(Pallas, 1766) ",Bovidae
"Nanger granti (Brooke, 1872)",Nanger granti,"(Brooke, 1872) ",Bovidae
"Nanger soemmerringii (Cretzschmar, 1828)",Nanger soemmerringii,"(Cretzschmar, 1828) ",Bovidae
"Nemorhaedus baileyi Pocock, 1914",Nemorhaedus baileyi,"Pocock, 1914",Bovidae
"Nemorhaedus evansi (Lydekker, 1905)",Nemorhaedus evansi,"(Lydekker, 1905) ",Bovidae
"Neotragocerus improvisus Matthew & Cook, 1909",Neotragocerus improvisus,"Matthew & Cook, 1909",Bovidae
"Neotragocerus lindgreni Merriam, 1918",Neotragocerus lindgreni,"Merriam, 1918",Bovidae
"Neotragus batesi de Winton, 1903",Neotragus batesi,"de Winton, 1903",Bovidae
"Neotragus moschatus (Von Dueben, 1846)",Neotragus moschatus,"(Von Dueben, 1846) ",Bovidae
"Neotragus pygmaeus (Linnaeus, 1758)",Neotragus pygmaeus,"(Linnaeus, 1758) ",Bovidae
"Nesogoral cenisae van der Made, 2005",Nesogoral cenisae,"van der Made, 2005",Bovidae
"Antilope planicornis (Pilgrim, 1939)",Antilope planicornis,"(Pilgrim, 1939) ",Bovidae
"Nitidarcus asfawi Vrba, 1997",Nitidarcus asfawi,"Vrba, 1997",Bovidae
"Numidocapra crassicornis Arambourg, 1949",Numidocapra crassicornis,"Arambourg, 1949",Bovidae
"Rabaticeras arambourgi (Ennouchi, 1953)",Rabaticeras arambourgi,"(Ennouchi, 1953) ",Bovidae
"Oioceros atropatenes Rodler & Weithofer, 1890",Oioceros atropatenes,"Rodler & Weithofer, 1890",Bovidae
"Oioceros jiulongkouensis Chen & Wu, 1976",Oioceros jiulongkouensis,"Chen & Wu, 1976",Bovidae
"Oioceros lishanensis Lee & Wu, 1978",Oioceros lishanensis,"Lee & Wu, 1978",Bovidae
"Oioceros noverca Pilgrim, 1934",Oioceros noverca,"Pilgrim, 1934",Bovidae
"Oioceros proaries Schlosser, 1904",Oioceros proaries,"Schlosser, 1904",Bovidae
"Oioceros robustus Chen & Wu, 1976",Oioceros robustus,"Chen & Wu, 1976",Bovidae
"Oioceros spec Gaillard, 1902",Oioceros spec,"Gaillard, 1902",Bovidae
"Oioceros stenocephalus Chen & Wu, 1976",Oioceros stenocephalus,"Chen & Wu, 1976",Bovidae
"Oioceros tanyaceras (Gentry, 1970)",Oioceros tanyaceras,"(Gentry, 1970) ",Bovidae
"Oioceros xiejiaensis Li & Qiu, 1980",Oioceros xiejiaensis,"Li & Qiu, 1980",Bovidae
"Oreamnos americanus (Blainville, 1816)",Oreamnos americanus,"(Blainville, 1816) ",Bovidae
"Oreamnos harringtoni Stock, 1936",Oreamnos harringtoni,"Stock, 1936",Bovidae
"Oreonagor tournoueri (Thomas, 1884)",Oreonagor tournoueri,"(Thomas, 1884) ",Bovidae
"Oreotragus aceratos Noack, 1899",Oreotragus aceratos,"Noack, 1899",Bovidae
"Oreotragus aureus (Heller, 1913)",Oreotragus aureus,"(Heller, 1913) ",Bovidae
"Oreotragus centralis (Hinton, 1921)",Oreotragus centralis,"(Hinton, 1921) ",Bovidae
"Oreotragus oreotragus (Zimmermann, 1783)",Oreotragus oreotragus,"(Zimmermann, 1783) ",Bovidae
"Oreotragus saltatrixoides (Temminck, 1853)",Oreotragus saltatrixoides,"(Temminck, 1853) ",Bovidae
"Oreotragus schillingsi Neumann, 1902",Oreotragus schillingsi,"Neumann, 1902",Bovidae
"Oreotragus somalicus Neumann, 1902",Oreotragus somalicus,"Neumann, 1902",Bovidae
"Oreotragus stevensoni Roberts, 1946",Oreotragus stevensoni,"Roberts, 1946",Bovidae
"Oreotragus transvaalensis (Roberts, 1917)",Oreotragus transvaalensis,"(Roberts, 1917) ",Bovidae
"Orygotherium escheri von Meyer, 1838",Orygotherium escheri,"von Meyer, 1838",Bovidae
"Orygotherium heinzi Vislobokova, 2004",Orygotherium heinzi,"Vislobokova, 2004",Bovidae
"Orygotherium tagaiensis Vislobokova, 2004",Orygotherium tagaiensis,"Vislobokova, 2004",Bovidae
"Cemas algazel (Oken, 1816)",Cemas algazel,"(Oken, 1816) ",Bovidae
"Oryx beatrix Gray, 1857",Oryx beatrix,"Gray, 1857",Bovidae
"Oryx beisa (Rüppell, 1835)",Oryx beisa,"(Rüppell, 1835) ",Bovidae
"Oryx callotis Thomas, 1892",Oryx callotis,"Thomas, 1892",Bovidae
"Oryx dammah (Cretzschmar, 1827)",Oryx dammah,"(Cretzschmar, 1827) ",Bovidae
"Oryx datnmah (Cretzschmar, 1826)",Oryx datnmah,"(Cretzschmar, 1826) ",Bovidae
"Oryx eleulmensis Arambourg, 1979",Oryx eleulmensis,"Arambourg, 1979",Bovidae
"Oryx gallarum (Neumann, 1902)",Oryx gallarum,"(Neumann, 1902) ",Bovidae
"Oryx gazella (Linnaeus, 1758)",Oryx gazella,"(Linnaeus, 1758) ",Bovidae
"Oryx leucoryx (Pallas, 1777)",Oryx leucoryx,"(Pallas, 1777) ",Bovidae
"Ourebia ourebi (Zimmermann, 1783)",Ourebia ourebi,"(Zimmermann, 1783) ",Bovidae
"Ovibos moschatus (Zimmermann, 1780)",Ovibos moschatus,"(Zimmermann, 1780) ",Bovidae
"Ovibos yukonensis Gidley, 1908",Ovibos yukonensis,"Gidley, 1908",Bovidae
"Ovis ammon (Linnaeus, 1758)",Ovis ammon,"(Linnaeus, 1758) ",Bovidae
"Ovis arabica (Sopin & Harrison, 1986)",Ovis arabica,"(Sopin & Harrison, 1986) ",Bovidae
"Ovis aries Linnaeus, 1758",Ovis aries,"Linnaeus, 1758",Bovidae
Ovis aries Merinolandschaf,Ovis aries,Merinolandschaf,Bovidae
"Ovis blanfordi Hume, 1877",Ovis blanfordi,"Hume, 1877",Bovidae
"Ovis bochariensis Nasonov, 1914",Ovis bochariensis,"Nasonov, 1914",Bovidae
"Ovis canadensis Shaw, 1804",Ovis canadensis,"Shaw, 1804",Bovidae
"Ovis collium Severtzov, 1873",Ovis collium,"Severtzov, 1873",Bovidae
"Ovis cycloceros Hutton, 1842",Ovis cycloceros,"Hutton, 1842",Bovidae
"Ovis dalli Nelson, 1884",Ovis dalli,"Nelson, 1884",Bovidae
"Ovis darwini Przewalski, 1883",Ovis darwini,"Przewalski, 1883",Bovidae
"Ovis dorshi Frick, 1937",Ovis dorshi,"Frick, 1937",Bovidae
"Ovis gmelini Blyth, 1841",Ovis gmelini,"Blyth, 1841",Bovidae
"Ovis gmelini Linnaeus, 1758",Ovis gmelini,"Linnaeus, 1758",Bovidae
"Ovis guineensis Linnaeus, 1758",Ovis guineensis,"Linnæus, 1758",Bovidae
"Ovis hodgsoni Blyth, 1841",Ovis hodgsoni,"Blyth, 1841",Bovidae
"Ovis isphahanica Nasonov, 1910",Ovis isphahanica,"Nasonov, 1910",Bovidae
"Ovis jubata Peters, 1876",Ovis jubata,"Peters, 1876",Bovidae
"Ovis karelini Severtzov, 1873",Ovis karelini,"Severtzov, 1873",Bovidae
"Ovis mamillaris Foster, 1837",Ovis mamillaris,"Foster, 1837",Bovidae
"Ovis nigrimontana Severtzov, 1873",Ovis nigrimontana,"Severtzov, 1873",Bovidae
"Ovis nivicola Eschscholtz, 1829",Ovis nivicola,"Eschscholtz, 1829",Bovidae
"Ovis severtzovi Nasonov, 1914",Ovis severtzovi,"Nasonov, 1914",Bovidae
"Ovis shantungensis Mastumoto, 1926",Ovis shantungensis,"Mastumoto, 1926",Bovidae
"Ovis sheldoni Merriam, 1916",Ovis sheldoni,"Merriam, 1916",Bovidae
"Ovis spec Linnaeus, 1758",Ovis spec,"Linnæus, 1758",Bovidae
"Ovis strepsiceros Linnaeus, 1758",Ovis strepsiceros,"Linnaeus, 1758",Bovidae
"Ovis vigne Blyth, 1841",Ovis vigne,"Blyth, 1841",Bovidae
"Pachytragus solignaci (Robinson, 1972)",Pachytragus solignaci,"(Robinson, 1972) ",Bovidae
"Palaeoreas lindermayeri (Wagner, 1848)",Palaeoreas lindermayeri,"(Wagner, 1848) ",Bovidae
"Palaeoreas spec Gaudry, 1861",Palaeoreas spec,"Gaudry, 1861",Bovidae
"Palaeoryx majori Schlosser, 1904",Palaeoryx majori,"Schlosser, 1904",Bovidae
"Palaeoryx minor Vasileiadis et al., 2019",Palaeoryx minor,"Vasileiadis et al., 2019",Bovidae
"Palaeoryx pallasi (Wagner, 1857)",Palaeoryx pallasi,"(Wagner, 1857) ",Bovidae
"Pantholops hodgsonii (Abel, 1826)",Pantholops hodgsonii,"(Abel, 1826) ",Bovidae
"Parantidorcas latifrons Arambourg, 1979",Parantidorcas latifrons,"Arambourg, 1979",Bovidae
"Boselaphus ambiguus (Pomel, 1894)",Boselaphus ambiguus,"(Pomel, 1894) ",Bovidae
"Damaliscus angusticornis (Schwarz, 1937)",Damaliscus angusticornis,"(Schwarz, 1937) ",Bovidae
"Parmularius altidens Hopwood, 1934",Parmularius altidens,"Hopwood, 1934",Bovidae
"Parmularius atlanticus Geraads & Amani, 1998",Parmularius atlanticus,"Geraads & Amani, 1998",Bovidae
"Parmularius braini Vrba, 1977",Parmularius braini,"Vrba, 1977",Bovidae
"Parmularius pachyceras Geraads, 2001",Parmularius pachyceras,"Geraads, 2001",Bovidae
"Parmularius pandatus Gentry, 1987",Parmularius pandatus,"Gentry, 1987",Bovidae
"Parmularius parvus Vrba, 1978",Parmularius parvus,"Vrba, 1978",Bovidae
"Parmularius rugosus Leakey, 1965",Parmularius rugosus,"Leakey, 1965",Bovidae
"Pelea capreolus (Forster, 1790)",Pelea capreolus,"(Forster, 1790) ",Bovidae
"Bubalus antiquus (Duvernoy, 1851)",Bubalus antiquus,"(Duvernoy, 1851) ",Bovidae
"Pelorovis howelli Hadjouis & Sahnouni, 2006",Pelorovis howelli,"Hadjouis & Sahnouni, 2006",Bovidae
"Pelorovis kaisensis Geraads & Thomasson, 1994",Pelorovis kaisensis,"Geraads & Thomasson, 1994",Bovidae
"Pelorovis oldowayensis Reck, 1928",Pelorovis oldowayensis,"Reck, 1928",Bovidae
"Pelorovis turkanensis Harris, 1991",Pelorovis turkanensis,"Harris, 1991",Bovidae
"Pheraios chryssomallos Kostopoulos & Koufos, 2006",Pheraios chryssomallos,"Kostopoulos & Koufos, 2006",Bovidae
"Philantomba maxwellii (C.H.Smith, 1827)",Philantomba maxwellii,"(C.H.Smith, 1827) ",Bovidae
"Philantomba monticola (Thunberg, 1789)",Philantomba monticola,"(Thunberg, 1789) ",Bovidae
"Philantomba walteri Colyn, Hulselmans, Sonet, Oudé, de Winter, Natta, Nagy & Verheyen, 2010",Philantomba walteri,"Colyn, Hulselmans, Sonet, Oudé, de Winter, Natta, Nagy & Verheyen, 2010",Bovidae
"Parabos dodsoni (Barbour & Schultz, 1941)",Parabos dodsoni,"(Barbour & Schultz, 1941) ",Bovidae
"Parabos savelisi Cregut-Bonnoure & Tsoukala, 2017",Parabos savelisi,"Cregut-Bonnoure & Tsoukala, 2017",Bovidae
"Plesiaddax spec Schlosser, 1903",Plesiaddax spec,"Schlosser, 1903",Bovidae
"Antilope ardea (Deperet, 1883)",Antilope ardea,"(Deperet, 1883) ",Bovidae
"Praedamalis deturi (Dietrich, 1950)",Praedamalis deturi,"(Dietrich, 1950) ",Bovidae
"Praedamalis howelli (Vrba & Gatsey, 1994)",Praedamalis howelli,"(Vrba & Gatsey, 1994) ",Bovidae
"Praeovibos priscus Staudinger, 1908",Praeovibos priscus,"Staudinger, 1908",Bovidae
"Procapra altaica Hollister, 1913",Procapra altaica,"Hollister, 1913",Bovidae
"Procapra gutturosa (Pallas, 1777)",Procapra gutturosa,"(Pallas, 1777) ",Bovidae
"Procapra picticaudata Hodgson, 1846",Procapra picticaudata,"Hodgson, 1846",Bovidae
"Procapra przewalskii (Büchner, 1891)",Procapra przewalskii,"(Büchner, 1891) ",Bovidae
"Prodamaliscus gracilidens Schlosser, 1904",Prodamaliscus gracilidens,"Schlosser, 1904",Bovidae
"Prostrepsiceros libycus (Lehmann & Thomas, 1987)",Prostrepsiceros libycus,"(Lehmann & Thomas, 1987) ",Bovidae
"Prostrepsiceros spec Major, 1891",Prostrepsiceros spec,"Major, 1891",Bovidae
"Protoryx carolinae Major, 1891",Protoryx carolinae,"Major, 1891",Bovidae
"Protoryx spec Major, 1891",Protoryx spec,"Major, 1891",Bovidae
"Pseudotragus capricornis (Schlosser, 1904)",Pseudotragus capricornis,"(Schlosser, 1904) ",Bovidae
"Protovis himalayensis Wang, Li & Takeuchi, 2016",Protovis himalayensis,"Wang, Li & Takeuchi, 2016",Bovidae
"Protragelaphus zitteli Schlosser, 1904",Protragelaphus zitteli,"Schlosser, 1904",Bovidae
"Protragocerus labidotus (Gentry, 1970)",Protragocerus labidotus,"(Gentry, 1970) ",Bovidae
"Pseudois nayaur (Hodgson, 1833)",Pseudois nayaur,"(Hodgson, 1833) ",Bovidae
"Pseudois schaeferi Haltenorth, 1963",Pseudois schaeferi,"Haltenorth, 1963",Bovidae
"Pseudoryx nghetinhensis Dung, Giao, Chinh, Tuoc, Arctander & MacKinnon, 1993",Pseudoryx nghetinhensis,"Dung, Giao, Chinh, Tuoc, Arctander & MacKinnon, 1993",Bovidae
"Pseudotragus gentryi (Thomas, 1981)",Pseudotragus gentryi,"(Thomas, 1981) ",Bovidae
"Pseudotragus parvidens Gaudry, 1861",Pseudotragus parvidens,"Gaudry, 1861",Bovidae
"Pultiphagonides africanus (Hopwood, 1934)",Pultiphagonides africanus,"(Hopwood, 1934) ",Bovidae
"Raphicerus campestris (Thunberg, 1811)",Raphicerus campestris,"(Thunberg, 1811) ",Bovidae
"Raphicerus melanotis (Thunberg, 1811)",Raphicerus melanotis,"(Thunberg, 1811) ",Bovidae
"Raphicerus paralius Gentry, 1980",Raphicerus paralius,"Gentry, 1980",Bovidae
"Raphicerus sharpei Thomas, 1897",Raphicerus sharpei,"Thomas, 1897",Bovidae
"Redunca ancystrocera (Arambourg, 1947)",Redunca ancystrocera,"(Arambourg, 1947) ",Bovidae
"Redunca arundinum (Boddaert, 1785)",Redunca arundinum,"(Boddaert, 1785) ",Bovidae
"Redunca arundinutn (Boddaert, 1785)",Redunca arundinutn,"(Boddaert, 1785) ",Bovidae
"Redunca bohor Rüpper, 1842",Redunca bohor,"Rüpper, 1842",Bovidae
"Redunca darti Wells & Cooke, 1956",Redunca darti,"Wells & Cooke, 1956",Bovidae
"Redunca eulmensis Arambourg, 1979",Redunca eulmensis,"Arambourg, 1979",Bovidae
"Redunca fulvorufula (Afzelius, 1815)",Redunca fulvorufula,"(Afzelius, 1815) ",Bovidae
"Redunca khroumirensis (Arambourg, 1979)",Redunca khroumirensis,"(Arambourg, 1979) ",Bovidae
"Redunca occidentalis (Rothschild, 1907)",Redunca occidentalis,"(Rothschild, 1907) ",Bovidae
"Redunca redunca (Pallas, 1767)",Redunca redunca,"(Pallas, 1767) ",Bovidae
"Rhynotragus semiticus Reck, 1925",Rhynotragus semiticus,"Reck, 1925",Bovidae
"Rupicapra carpatica Couturier, 1938",Rupicapra carpatica,"Couturier, 1938",Bovidae
"Rupicapra parva Cabrera, 1911",Rupicapra parva,"Cabrera, 1911",Bovidae
"Rupicapra pyrenaica Bonaparte, 1845",Rupicapra pyrenaica,"Bonaparte, 1845",Bovidae
"Rupicapra rupicapra (Linnaeus, 1758)",Rupicapra rupicapra,"(Linnaeus, 1758) ",Bovidae
"Rusingoryx atopocranion Pickford & Thomas, 1984",Rusingoryx atopocranion,"Pickford & Thomas, 1984",Bovidae
"Ruticeros compressa Prasad, 1974",Ruticeros compressa,"Prasad, 1974",Bovidae
"Saheloryx solidus Geraads et al., 2008",Saheloryx solidus,"Geraads et al., 2008",Bovidae
"Saiga borealis (Tschersky, 1876)",Saiga borealis,"(Tschersky, 1876) ",Bovidae
"Saiga tatarica (Linnaeus, 1766)",Saiga tatarica,"(Linnaeus, 1766) ",Bovidae
"Samokeros minotaurus Solounias, 1981",Samokeros minotaurus,"Solounias, 1981",Bovidae
"Samotragus crassicornis Sickenberg, 1936",Samotragus crassicornis,"Sickenberg, 1936",Bovidae
"Samotragus pilgrimi Azanza et al., 1998",Samotragus pilgrimi,"Azanza et al., 1998",Bovidae
"Shaanxispira baheensis Zhang, 2003",Shaanxispira baheensis,"Zhang, 2003",Bovidae
"Shaanxispira chowi Liu et al., 1978",Shaanxispira chowi,"Liu et al., 1978",Bovidae
"Shaanxispira linxiaensis Shi, He & Chen, 2014",Shaanxispira linxiaensis,"Shi, He & Chen, 2014",Bovidae
"Simatherium demissum (Gentry, 1980)",Simatherium demissum,"(Gentry, 1980) ",Bovidae
"Simatherium kohllareseni Dietrich, 1941",Simatherium kohllareseni,"Dietrich, 1941",Bovidae
"Simatherium shungurense Geraads, 1995",Simatherium shungurense,"Geraads, 1995",Bovidae
"Sinocapra willdownsi Mead & Taylor, 2005",Sinocapra willdownsi,"Mead & Taylor, 2005",Bovidae
"Cobus palaeindicus (Lydekker, 1885)",Cobus palaeindicus,"(Lydekker, 1885) ",Bovidae
"Sivacobus sankaliai Vrba et al., 2015",Sivacobus sankaliai,"Vrba et al., 2015",Bovidae
"Sivoreas eremita Pilgrim, 1939",Sivoreas eremita,"Pilgrim, 1939",Bovidae
"Sivoreas sondaari van der Made & Hussain, 1994",Sivoreas sondaari,"van der Made & Hussain, 1994",Bovidae
"Pachytragus laticeps (Andree, 1926)",Pachytragus laticeps,"(Andree, 1926) ",Bovidae
"Pachytragus schlosseri (Andree, 1926)",Pachytragus schlosseri,"(Andree, 1926) ",Bovidae
"Skoufotragus zemalisorum Kostopoulos, 2009",Skoufotragus zemalisorum,"Kostopoulos, 2009",Bovidae
"Preptoceras mayfieldi (Troxell, 1915)",Preptoceras mayfieldi,"(Troxell, 1915) ",Bovidae
"Palaeoryx parvidens (Gaudry, 1861)",Palaeoryx parvidens,"(Gaudry, 1861) ",Bovidae
"Sylvicapra grimmia (Linnaeus, 1758)",Sylvicapra grimmia,"(Linnaeus, 1758) ",Bovidae
"Syncerus acoelotus Gentry, 1985",Syncerus acoelotus,"Gentry, 1985",Bovidae
"Syncerus caffer (Sparrman, 1779)",Syncerus caffer,"(Sparrman, 1779) ",Bovidae
"Syncerus mathewsi Hodgson, 1847",Syncerus mathewsi,"Hodgson, 1847",Bovidae
"Taurotragus derbianus (Gray, 1847)",Taurotragus derbianus,"(Gray, 1847) ",Bovidae
"Taurotragus oryx (Pallas, 1766)",Taurotragus oryx,"(Pallas, 1766) ",Bovidae
"Tchadotragus sudrei Geraads et al., 2008",Tchadotragus sudrei,"Geraads et al., 2008",Bovidae
"Tchaltacerus longicornis Bouvrain, 1998",Tchaltacerus longicornis,"Bouvrain, 1998",Bovidae
"Tetracerus quadricornis (Blainville, 1816)",Tetracerus quadricornis,"(Blainville, 1816) ",Bovidae
"Thaleroceros radiciformis Reck, 1925",Thaleroceros radiciformis,"Reck, 1925",Bovidae
"Tragelaphus algericus Geraads, 1981",Tragelaphus algericus,"Geraads, 1981",Bovidae
"Tragelaphus angasii Angas, 1849",Tragelaphus angasii,"Angas, 1849",Bovidae
"Tragelaphus angasii Gray, 1849",Tragelaphus angasii,"Gray, 1849",Bovidae
"Tragelaphus bor Heuglin, 1877",Tragelaphus bor,"Heuglin, 1877",Bovidae
"Tragelaphus buxtoni (Lydekker, 1910)",Tragelaphus buxtoni,"(Lydekker, 1910) ",Bovidae
"Tragelaphus derbianus (Gray, 1847)",Tragelaphus derbianus,"(Gray, 1847) ",Bovidae
"Tragelaphus eurycerus (Ogilby, 1837)",Tragelaphus eurycerus,"(Ogilby, 1837) ",Bovidae
"Tragelaphus gaudryi Thomas, 1884",Tragelaphus gaudryi,"Thomas, 1884",Bovidae
"Tragelaphus gratus Sclater, 1880",Tragelaphus gratus,"Sclater, 1880",Bovidae
"Tragelaphus imberbis (Blyth, 1869)",Tragelaphus imberbis,"(Blyth, 1869) ",Bovidae
"Tragelaphus itnberbis (Blyth, 1869)",Tragelaphus itnberbis,"(Blyth, 1869) ",Bovidae
"Tragelaphus meneliki Neumann, 1902",Tragelaphus meneliki,"Neumann, 1902",Bovidae
"Tragelaphus phaleratus (C.H.Smith, 1827)",Tragelaphus phaleratus,"(C.H.Smith, 1827) ",Bovidae
"Tragelaphus saraitu Geraads, Melillo & Haile-Selassie, 2009",Tragelaphus saraitu,"Geraads, Melillo & Haile-Selassie, 2009",Bovidae
"Tragelaphus scriptus (Pallas, 1766)",Tragelaphus scriptus,"(Pallas, 1766) ",Bovidae
"Tragelaphus selousi Rothschild, 1898",Tragelaphus selousi,"Rothschild, 1898",Bovidae
"Tragelaphus spekii Speke, 1863",Tragelaphus spekii,"Speke, 1863",Bovidae
"Tragelaphus strepsiceros (Pallas, 1766)",Tragelaphus strepsiceros,"(Pallas, 1766) ",Bovidae
"Tragocerus rugosifrons (Schlosser, 1904)",Tragocerus rugosifrons,"(Schlosser, 1904) ",Bovidae
Tragoportax amalthea,Tragoportax amalthea,,Bovidae
"Tragoportax gaudryi Kretzoi, 1941",Tragoportax gaudryi,"Kretzoi, 1941",Bovidae
"Tragoportax macedoniensis Bouvrain, 1988",Tragoportax macedoniensis,"Bouvrain, 1988",Bovidae
"Tragoportax spec Pilgrim, 1937",Tragoportax spec,"Pilgrim, 1937",Bovidae
"Tragoreas oryxoides Schlosser, 1904",Tragoreas oryxoides,"Schlosser, 1904",Bovidae
"Turritragus casteanensis Abbazzi et al., 2008",Turritragus casteanensis,"Abbazzi et al., 2008",Bovidae
"Tyrrhenotragus gracillimus Weithofer, 1888",Tyrrhenotragus gracillimus,"Weithofer, 1888",Bovidae
"Ugandax coryndonae Gentry, 2006",Ugandax coryndonae,"Gentry, 2006",Bovidae
"Ugandax gautieri Cook & Coryndon, 1970",Ugandax gautieri,"Cook & Coryndon, 1970",Bovidae
"Parurmiatherium rugosifrons (Sickenberg, 1932)",Parurmiatherium rugosifrons,"(Sickenberg, 1932) ",Bovidae
"Urmiatherium kassandriensis Lazaridis et al., 2017",Urmiatherium kassandriensis,"Lazaridis et al., 2017",Bovidae
"Wellsiana torticornuta Vrba, 1987",Wellsiana torticornuta,"Vrba, 1987",Bovidae
"Zephyreduncinus oundagaisus Verba & Haile-Selassie, 2006",Zephyreduncinus oundagaisus,"Verba & Haile-Selassie, 2006",Bovidae
"Acritohippus quinni Kelly, 1995",Acritohippus quinni,"Kelly, 1995",Equidae
"Hippotherium isonesum (Cope, 1889)",Hippotherium isonesum,"(Cope, 1889) ",Equidae
"Merychippus stylodontus (Merriam, 1919)",Merychippus stylodontus,"(Merriam, 1919) ",Equidae
"Merychippus tertius (Osborn, 1918)",Merychippus tertius,"(Osborn, 1918) ",Equidae
"Anchitherium aurelianense Cuvier, 1825",Anchitherium aurelianense,"Cuvier, 1825",Equidae
"Anchitherium clarencei (Simpson, 1932)",Anchitherium clarencei,"(Simpson, 1932) ",Equidae
"Anchitherium hypohippoides Matsumoto, 1924",Anchitherium hypohippoides,"Matsumoto, 1924",Equidae
"Miohippus navasotae (Hay, 1924)",Miohippus navasotae,"(Hay, 1924) ",Equidae
"Anchitherium minimus (Douglass, 1899)",Anchitherium minimus,"(Douglass, 1899) ",Equidae
"Anchitherium ultimum (Cope, 1886)",Anchitherium ultimum,"(Cope, 1886) ",Equidae
"Archaeohippus mannulus O'Sullivan, 2003",Archaeohippus mannulus,"O'Sullivan, 2003",Equidae
"Archaeohippus penultimus (Matthew, 1924)",Archaeohippus penultimus,"(Matthew, 1924) ",Equidae
"Mesohippus stenolophus (Lambe, 1905)",Mesohippus stenolophus,"(Lambe, 1905) ",Equidae
"Miohippus blackbergi (Hay, 1924)",Miohippus blackbergi,"(Hay, 1924) ",Equidae
"Parahippus mourningi (Merriam, 1913)",Parahippus mourningi,"(Merriam, 1913) ",Equidae
"Pliohippus stockii (Lance, 1950)",Pliohippus stockii,"(Lance, 1950) ",Equidae
"Protohippus ansae (Matthew & Stirton, 1930)",Protohippus ansae,"(Matthew & Stirton, 1930) ",Equidae
"Onohippidium galushai (MacFadden & Skinner, 1979)",Onohippidium galushai,"(MacFadden & Skinner, 1979) ",Equidae
"Calippus cerasinus Hulbert, 1988",Calippus cerasinus,"Hulbert, 1988",Equidae
"Calippus elachistus Hulbert, 1988",Calippus elachistus,"Hulbert, 1988",Equidae
"Calippus maccartyi Hulbert, 1988",Calippus maccartyi,"Hulbert, 1988",Equidae
"Calippus martini (Hesse, 1936)",Calippus martini,"(Hesse, 1936) ",Equidae
"Calippus regulus (Johnston, 1937)",Calippus regulus,"(Johnston, 1937) ",Equidae
"Pliohippus circulus (Quinn, 1955)",Pliohippus circulus,"(Quinn, 1955) ",Equidae
"Pliohippus hondurensis (Olson & McGrew, 1941)",Pliohippus hondurensis,"(Olson & McGrew, 1941) ",Equidae
"Protohippus placidus (Leidy, 1869)",Protohippus placidus,"(Leidy, 1869) ",Equidae
"Protohippus proplacidus (Osborn, 1918)",Protohippus proplacidus,"(Osborn, 1918) ",Equidae
"Cormohipparion emsliei Hulbert, 1988",Cormohipparion emsliei,"Hulbert, 1988",Equidae
"Cormohipparion fricki Woodburne, 2007",Cormohipparion fricki,"Woodburne, 2007",Equidae
"Cormohipparion goorisi (MacFadden & Skinner, 1981)",Cormohipparion goorisi,"(MacFadden & Skinner, 1981) ",Equidae
"Cormohipparion johnsoni Woodburne, 2007",Cormohipparion johnsoni,"Woodburne, 2007",Equidae
"Cormohipparion matthewi Woodburne, 2007",Cormohipparion matthewi,"Woodburne, 2007",Equidae
"Cormohipparion merriami Woodburne, 2007",Cormohipparion merriami,"Woodburne, 2007",Equidae
"Cormohipparion quinni (Woodburne, 1996)",Cormohipparion quinni,"(Woodburne, 1996) ",Equidae
"Cormohipparion skinneri Woodburne, 2007",Cormohipparion skinneri,"Woodburne, 2007",Equidae
"Hipparion occidentale (Leidy, 1856)",Hipparion occidentale,"(Leidy, 1856) ",Equidae
